num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
5,512,0.001,100,ADAM,5,0.0279853120446205,0.9615021230277184
5,512,0.0001,50,SGD,5,0.6233073472976685,-0.0466510143271032
5,512,0.0001,50,RMSprop,5,0.0093343080952763,0.9858702093346162
5,512,0.0001,50,ADAM,5,0.0040175979956984,0.993425079825268
5,512,0.0001,100,SGD,5,0.5969590544700623,-0.0045638409855989
5,512,0.0001,100,RMSprop,5,0.0096561927348375,0.9839658045314724
5,512,0.0001,100,ADAM,5,0.004786729812622,0.9925137033162628
5,512,1e-05,50,SGD,5,0.6480991244316101,-0.1042390641579646
5,512,1e-05,50,RMSprop,5,0.0069103189744055,0.9901836438369552
5,512,1e-05,50,ADAM,5,0.0040750200860202,0.9939324524533356
5,512,1e-05,100,SGD,5,0.6419187188148499,-0.1061483222350991
5,512,1e-05,100,RMSprop,5,0.0060905097052454,0.991084793494656
5,512,1e-05,100,ADAM,5,0.0046655558981001,0.9931140566451936
10,64,0.01,50,SGD,5,0.1384748518466949,0.7048234246199744
10,64,0.01,50,RMSprop,5,0.3253877162933349,0.4288933130585601
10,64,0.01,50,ADAM,5,0.2210153490304947,0.6125506016852178
10,64,0.01,100,SGD,5,0.2113008946180343,0.5575508522752843
10,64,0.01,100,RMSprop,5,0.2453163862228393,0.552471302328942
10,64,0.01,100,ADAM,5,0.1883520632982254,0.6718856569588937
10,64,0.001,50,SGD,5,0.6003947257995605,-0.0059126032093487
10,64,0.001,50,RMSprop,5,0.171657383441925,0.7034579571154557
10,64,0.001,50,ADAM,5,0.1026891767978668,0.77056059581219
10,64,0.001,100,SGD,5,0.4945889413356781,0.1297441402613429
10,64,0.001,100,RMSprop,5,0.1191713511943817,0.767910196106441
10,64,0.001,100,ADAM,5,0.0954608842730522,0.8085345070520624
10,64,0.0001,50,SGD,5,0.6652108430862427,-0.1477484385272514
10,64,0.0001,50,RMSprop,5,0.0889698341488838,0.8637406706792756
10,64,0.0001,50,ADAM,5,0.0102240471169352,0.9834604359086416
10,64,0.0001,100,SGD,5,0.641560971736908,-0.0828234754625874
10,64,0.0001,100,RMSprop,5,0.0693911537528038,0.8829057359058669
10,64,0.0001,100,ADAM,5,0.0125144496560096,0.9778604411367744
10,64,1e-05,50,SGD,5,0.6564710736274719,-0.116810261636346
10,64,1e-05,50,RMSprop,5,0.1743189841508865,0.638930616775259
10,64,1e-05,50,ADAM,5,0.0125178070738911,0.9799663017614024
10,64,1e-05,100,SGD,5,0.666417121887207,-0.1420416174717884
10,64,1e-05,100,RMSprop,5,0.1216957718133926,0.8036950072366903
10,64,1e-05,100,ADAM,5,0.0801667720079422,0.8528697870373699
10,256,0.01,50,SGD,5,0.0135649517178535,0.978392866086006
10,256,0.01,50,RMSprop,5,0.6289340257644653,-0.0468248021038688
10,256,0.01,50,ADAM,5,0.3291000723838806,0.4082299507540195
10,256,0.01,100,SGD,5,0.0175265166908502,0.9728154389932177
10,256,0.01,100,RMSprop,5,0.6332376003265381,-0.0564143880983458
10,256,0.01,100,ADAM,5,0.3897462785243988,0.2682201214370214
10,256,0.001,50,SGD,5,0.6277868151664734,-0.053552114067463
10,256,0.001,50,RMSprop,5,0.1878060400485992,0.678611078902667
10,256,0.001,50,ADAM,5,0.0752098262310028,0.8736142798663881
10,256,0.001,100,SGD,5,0.2866196632385254,0.4629836225564194
10,256,0.001,100,RMSprop,5,0.148226112127304,0.7558560221263343
10,256,0.001,100,ADAM,5,0.1094197705388069,0.8042268630326245
10,256,0.0001,50,SGD,5,0.6377948522567749,-0.0891916394867205
10,256,0.0001,50,RMSprop,5,0.0332589857280254,0.944948366968894
10,256,0.0001,50,ADAM,5,0.0215840600430965,0.9646930834565104
10,256,0.0001,100,SGD,5,0.6484955549240112,-0.1033461505793036
10,256,0.0001,100,RMSprop,5,0.0529752485454082,0.9150999006676598
10,256,0.0001,100,ADAM,5,0.0182410851120948,0.9690927032492884
10,256,1e-05,100,SGD,5,0.6492477059364319,-0.10185980923729
10,256,1e-05,100,RMSprop,5,0.0065980232320725,0.9896576839654312
10,256,1e-05,100,ADAM,5,0.005426415707916,0.9911908545848488
10,512,0.01,100,SGD,5,0.0197846926748752,0.9663762564549732
10,512,0.01,100,RMSprop,5,0.643589973449707,-0.1035565806484317
10,512,0.01,100,ADAM,5,0.3461698293685913,0.3333052949374646
10,512,0.001,100,SGD,5,0.6309205889701843,-0.0595771131097673
10,512,0.001,100,RMSprop,5,0.1364853680133819,0.7531244061931565
10,512,0.001,100,ADAM,5,0.17984163761138916,0.6482712447291958
10,512,0.0001,100,SGD,5,0.6394975185394287,-0.08306719630526786
10,512,0.0001,100,RMSprop,5,0.057843923568725586,0.9082851414507882
10,512,0.0001,100,ADAM,5,0.023694723844528198,0.9601088510734833
10,512,1e-05,100,SGD,5,0.641097903251648,-0.09737800275822366
